                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1056,                0.71345,                0.96704,                 1.2932,                0.82164,                0.94833,                0.45684,                0.53439,                0.48539,                0.24547,                 1.6746,                 1.2526,                0.96755,                 1.7575,                 2.4073,                0.93635,             0.00078357,             0.00078357,             0.00078357
                     25,                 1.1432,                0.78221,                0.97913,                 1.3033,                0.96906,                0.93602,                0.18794,                0.41355,                 0.1521,                0.07765,                 2.0232,                 1.8256,                 1.0512,                 1.9063,                 9.8333,                 1.0133,             0.00080621,             0.00080621,             0.00080621
                     26,                 1.1091,                0.75267,                0.93295,                 1.2715,                0.89521,                0.89847,                0.83009,                 0.7673,                 0.8668,                0.48529,                 1.6286,                 1.1632,                0.91634,                 1.6968,                 1.4742,                0.89978,               0.000828,               0.000828,               0.000828
                     27,                 1.2477,                0.75504,                0.96047,                 1.4007,                0.90821,                0.93019,                0.80047,                0.71077,                0.80025,                0.40129,                 1.7531,                 1.3741,                0.96433,                 1.8821,                 1.5115,                0.95639,             0.00084894,             0.00084894,             0.00084894
                     28,                 1.1843,                0.69898,                0.96729,                 1.3461,                0.81046,                0.94151,                0.63923,                0.58002,                0.59859,                 0.3555,                 1.9179,                 1.5068,                 1.0414,                  1.907,                 1.6766,                 1.0106,             0.00086903,             0.00086903,             0.00086903
                     29,                 1.1296,                0.71579,                0.94762,                 1.3302,                0.93899,                0.91831,                0.51206,                0.59788,                0.63667,                0.38181,                 1.6449,                 1.5168,                   0.94,                 1.8046,                 2.9594,                0.95805,             0.00088828,             0.00088828,             0.00088828
                     30,                 1.1663,                0.71092,                0.97411,                 1.3463,                 0.8759,                0.94403,                0.54363,                0.76579,                 0.5455,                0.28158,                 1.8591,                 2.6288,                 1.0254,                 1.9828,                 2.4854,                 1.0356,             0.00090667,             0.00090667,             0.00090667
                     31,                 1.1563,                0.77543,                0.95126,                 1.4537,                 1.1031,                0.91025,                0.72187,                0.78571,                0.73565,                0.35837,                 2.0347,                 3.7715,                 1.1303,                 2.1741,                 2.2684,                 1.1262,             0.00092422,             0.00092422,             0.00092422
                     32,                 1.0877,                0.68931,                0.93338,                 1.3068,                0.81885,                0.90881,                 0.6987,                0.75661,                0.72491,                0.36017,                 1.7337,                 3.3335,                0.99801,                 1.9488,                 3.3382,                 1.0262,             0.00094092,             0.00094092,             0.00094092
                     33,                 1.1614,                 0.7511,                0.94957,                 1.4109,                0.97283,                0.91851,                0.71963,                0.81392,                0.77468,                0.35196,                 1.8414,                 2.4729,                 1.0191,                   1.95,                 2.8223,                 1.0212,             0.00095677,             0.00095677,             0.00095677
